81091.286043114: (None, None)
81091.380359591: (None, None)
81091.467337534: (None, None)
81091.564484276: (None, None)
81091.648538359: (None, None)
81091.738273128: (530.0678100585938, 648.68994140625)
81091.834458913: (None, None)
81091.923914875: (463.94512939453125, 632.5498657226562)
81092.013554643: (None, None)
81092.110573935: (None, None)
81092.195255582: (None, None)
81092.287187427: (384.8825378417969, 671.3021850585938)
81092.380040229: (527.6751098632812, 621.8428955078125)
81092.4712843: (445.2209777832031, 629.7732543945312)
81092.560040144: (None, None)
81092.653553583: (None, None)
81092.742432763: (712.57177734375, 653.3129272460938)
81092.838515785: (488.2633056640625, 655.8466186523438)
81092.927468612: (None, None)
81093.018176214: (354.856201171875, 622.9293212890625)
81093.111160581: (494.7839660644531, 703.2694702148438)
81093.198016491: (None, None)
81093.289073787: (None, None)
81093.38192612: (422.84490966796875, 579.5756225585938)
81093.470119453: (None, None)
81093.562615164: (609.3650512695312, 713.5714111328125)
81093.652988384: (None, None)
